Date,Close,Open,High,Low,Ticker 
"Aug 10, 2015",73.6,74.41,74.44,72.26,MOEX
"Aug 11, 2015",73.6,73.45,74.2,73.25,MOEX
"Aug 12, 2015",74.0,73.75,74.84,73.21,MOEX
"Aug 13, 2015",75.2,74.16,75.22,73.2,MOEX
"Aug 14, 2015",76.18,74.66,76.8,74.22,MOEX
"Aug 17, 2015",76.0,75.0,76.74,74.66,MOEX
"Aug 18, 2015",75.2,75.51,76.36,74.13,MOEX
"Aug 19, 2015",74.3,75.11,76.2,74.18,MOEX
"Aug 20, 2015",74.52,74.19,75.5,74.16,MOEX
"Aug 21, 2015",71.8,74.51,74.97,71.8,MOEX
"Aug 24, 2015",69.5,70.0,71.37,66.55,MOEX
"Aug 25, 2015",71.4,69.52,71.78,69.5,MOEX
"Aug 26, 2015",71.1,71.2,71.66,70.15,MOEX
"Aug 27, 2015",73.42,71.6,74.55,71.12,MOEX
"Aug 28, 2015",74.0,74.3,74.57,72.3,MOEX
"Aug 31, 2015",74.31,73.71,74.32,73.05,MOEX
"Sep 01, 2015",76.6,74.19,76.6,73.87,MOEX
"Sep 02, 2015",74.91,76.05,76.8,74.67,MOEX
"Sep 03, 2015",75.43,75.39,76.43,75.3,MOEX
"Sep 04, 2015",76.1,75.35,76.4,74.82,MOEX
"Sep 07, 2015",73.99,76.23,76.23,73.08,MOEX
"Sep 08, 2015",75.0,74.01,75.18,73.8,MOEX
"Sep 09, 2015",74.88,75.38,76.77,74.88,MOEX
"Sep 10, 2015",77.61,74.9,78.0,74.62,MOEX
"Sep 11, 2015",80.59,77.8,80.89,77.79,MOEX
"Sep 14, 2015",81.97,80.57,84.48,80.01,MOEX
"Sep 15, 2015",79.99,82.58,82.59,78.92,MOEX
"Sep 16, 2015",79.31,80.32,80.68,79.09,MOEX
"Sep 17, 2015",81.88,79.31,83.97,79.12,MOEX
"Sep 18, 2015",80.0,82.47,82.87,80.0,MOEX
"Sep 21, 2015",80.89,80.69,81.7,80.03,MOEX
"Sep 22, 2015",79.99,80.65,81.54,79.83,MOEX
"Sep 23, 2015",79.0,80.3,80.9,79.0,MOEX
"Sep 24, 2015",79.4,79.59,81.38,78.71,MOEX
"Sep 25, 2015",80.48,79.95,80.99,78.23,MOEX
"Sep 28, 2015",77.5,80.51,81.16,77.2,MOEX
"Sep 29, 2015",79.5,77.5,79.5,77.01,MOEX
"Sep 30, 2015",80.0,79.66,80.84,79.0,MOEX
"Oct 01, 2015",79.15,80.47,80.83,78.12,MOEX
"Oct 02, 2015",77.6,79.02,79.42,76.15,MOEX
"Oct 05, 2015",78.79,78.0,80.57,77.77,MOEX
"Oct 06, 2015",81.5,78.92,82.08,78.23,MOEX
"Oct 07, 2015",83.68,82.49,83.9,79.62,MOEX
"Oct 08, 2015",83.05,83.32,84.23,82.85,MOEX
"Oct 09, 2015",85.4,83.5,86.45,82.5,MOEX
"Oct 12, 2015",88.2,85.4,88.2,85.21,MOEX
"Oct 13, 2015",86.95,87.98,88.71,85.98,MOEX
"Oct 14, 2015",85.7,86.5,88.16,84.04,MOEX
"Oct 15, 2015",83.54,85.01,86.62,83.5,MOEX
"Oct 16, 2015",85.9,83.98,85.98,83.7,MOEX
"Oct 19, 2015",86.3,85.72,86.62,84.55,MOEX
"Oct 20, 2015",86.25,86.3,86.4,84.13,MOEX
"Oct 21, 2015",85.99,86.0,86.0,84.7,MOEX
"Oct 22, 2015",88.29,85.95,89.5,85.34,MOEX
"Oct 23, 2015",92.0,88.49,92.8,87.65,MOEX
"Oct 26, 2015",95.1,92.0,95.68,90.3,MOEX
"Oct 27, 2015",92.05,94.25,95.45,89.84,MOEX
"Oct 28, 2015",91.7,91.97,92.4,90.2,MOEX
"Oct 29, 2015",91.31,91.7,91.87,90.5,MOEX
"Oct 30, 2015",89.84,91.29,92.12,89.84,MOEX
"Nov 02, 2015",91.99,90.0,92.3,90.0,MOEX
"Nov 03, 2015",91.5,91.97,93.57,91.2,MOEX
"Nov 05, 2015",91.3,92.48,93.44,90.03,MOEX
"Nov 06, 2015",90.81,90.95,92.17,90.3,MOEX
"Nov 09, 2015",90.19,90.12,91.5,89.09,MOEX
"Nov 10, 2015",90.5,89.88,91.5,89.23,MOEX
"Nov 11, 2015",91.0,90.02,92.4,89.42,MOEX
"Nov 12, 2015",87.28,91.0,91.6,86.84,MOEX
"Nov 13, 2015",87.24,87.02,88.5,85.76,MOEX
"Nov 16, 2015",91.0,86.98,91.18,86.78,MOEX
"Nov 17, 2015",94.4,91.09,95.78,91.09,MOEX
"Nov 18, 2015",93.5,93.9,95.21,93.14,MOEX
"Nov 19, 2015",93.09,93.94,95.68,92.18,MOEX
"Nov 20, 2015",92.89,93.05,93.05,91.1,MOEX
"Nov 23, 2015",94.01,93.0,94.5,92.14,MOEX
"Nov 24, 2015",93.94,94.15,94.47,91.1,MOEX
"Nov 25, 2015",94.05,93.87,95.3,93.31,MOEX
"Nov 26, 2015",94.8,94.39,95.4,94.0,MOEX
"Nov 27, 2015",97.0,94.6,102.23,92.46,MOEX
"Nov 30, 2015",94.5,96.8,98.67,93.7,MOEX
"Dec 01, 2015",96.0,94.51,97.15,93.8,MOEX
"Dec 02, 2015",94.69,95.41,95.8,94.39,MOEX
"Dec 03, 2015",94.02,94.35,94.99,93.64,MOEX
"Dec 04, 2015",93.8,94.35,94.58,92.0,MOEX
"Dec 07, 2015",93.59,93.51,94.45,92.76,MOEX
"Dec 08, 2015",90.25,93.24,93.71,89.25,MOEX
"Dec 09, 2015",88.3,90.75,92.12,87.67,MOEX
"Dec 10, 2015",89.27,88.4,90.04,88.25,MOEX
"Dec 11, 2015",90.7,89.37,90.7,86.95,MOEX
"Dec 14, 2015",88.8,90.22,90.8,88.72,MOEX
"Dec 15, 2015",94.9,89.3,95.28,89.17,MOEX
"Dec 16, 2015",92.3,94.9,96.83,92.3,MOEX
"Dec 17, 2015",94.21,92.76,95.5,92.56,MOEX
"Dec 18, 2015",94.82,94.0,94.83,92.0,MOEX
"Dec 21, 2015",96.0,94.5,96.47,93.9,MOEX
"Dec 22, 2015",95.75,96.22,96.69,94.41,MOEX
"Dec 23, 2015",96.5,95.98,96.72,95.02,MOEX
"Dec 24, 2015",95.57,96.6,96.88,95.05,MOEX
"Dec 25, 2015",94.72,95.56,96.09,94.5,MOEX
"Dec 28, 2015",93.55,94.79,95.13,93.55,MOEX
"Dec 29, 2015",93.62,93.69,94.93,92.55,MOEX
"Dec 30, 2015",91.4,93.65,94.26,91.4,MOEX
"Jan 04, 2016",91.85,91.32,91.85,90.12,MOEX
"Jan 05, 2016",94.3,91.83,94.47,91.81,MOEX
"Jan 06, 2016",94.44,94.34,94.87,93.88,MOEX
"Jan 11, 2016",94.5,92.25,95.84,91.0,MOEX
"Jan 12, 2016",93.75,94.4,97.0,93.13,MOEX
"Jan 13, 2016",91.6,93.89,94.7,91.5,MOEX
"Jan 14, 2016",91.65,91.87,92.82,90.26,MOEX
"Jan 15, 2016",86.59,91.65,91.97,86.59,MOEX
"Jan 18, 2016",90.15,85.9,90.73,85.2,MOEX
"Jan 19, 2016",90.45,92.11,92.3,88.75,MOEX
"Jan 20, 2016",90.21,89.58,92.07,88.0,MOEX
"Jan 21, 2016",90.0,90.67,91.86,89.05,MOEX
"Jan 22, 2016",90.28,91.12,91.45,88.5,MOEX
"Jan 25, 2016",90.0,90.77,90.85,89.51,MOEX
"Jan 26, 2016",90.0,89.9,90.5,89.32,MOEX
"Jan 27, 2016",93.65,90.27,93.9,89.63,MOEX
"Jan 28, 2016",92.7,93.4,95.15,91.27,MOEX
"Jan 29, 2016",95.99,93.0,96.0,92.53,MOEX
"Feb 01, 2016",96.5,95.25,96.67,94.12,MOEX
"Feb 02, 2016",96.2,96.15,96.68,94.93,MOEX
"Feb 03, 2016",99.6,95.8,100.7,95.21,MOEX
"Feb 04, 2016",92.3,95.0,95.99,92.2,MOEX
"Feb 05, 2016",93.03,93.19,95.0,92.52,MOEX
"Feb 08, 2016",91.14,93.39,94.0,90.6,MOEX
"Feb 09, 2016",91.09,91.25,91.95,90.12,MOEX
"Feb 10, 2016",90.95,90.8,91.5,90.08,MOEX
"Feb 11, 2016",89.0,91.0,91.16,87.79,MOEX
"Feb 12, 2016",89.58,89.81,90.29,88.2,MOEX
"Feb 15, 2016",90.4,90.3,90.76,88.75,MOEX
"Feb 16, 2016",91.0,90.75,91.77,90.44,MOEX
"Feb 17, 2016",91.0,91.05,91.6,90.09,MOEX
"Feb 18, 2016",92.47,91.3,92.89,91.25,MOEX
"Feb 19, 2016",89.95,92.11,92.11,89.01,MOEX
"Feb 20, 2016",90.48,90.2,90.73,90.02,MOEX
"Feb 22, 2016",92.09,90.6,92.32,90.57,MOEX
"Feb 24, 2016",93.2,91.4,93.3,91.03,MOEX
"Feb 25, 2016",95.09,93.26,95.1,93.25,MOEX
"Feb 26, 2016",96.81,95.16,97.43,94.9,MOEX
"Feb 29, 2016",99.0,96.08,99.0,95.71,MOEX
"Mar 01, 2016",97.8,99.0,99.32,97.17,MOEX
